Metabolite,ρ (baseline),Rank (baseline),%ile (baseline),p (baseline),Sig (baseline),ρ (consensus),Rank (consensus),%ile (consensus),p (consensus),Sig (consensus),Direction consistent
guanosine,0.22020227016572885,3,0.4601226993865031,0,*,-0.0667892050794167,358,54.90797546012271,1.442498942516579e-8,*,FALSE
isodeoxycholic acid,0.18650871776041025,8,1.2269938650306749,0,*,0.09961220987137363,47,7.208588957055214,0,*,TRUE
inosine (HILn),0.18506444070333508,10,1.5337423312883436,0,*,0.1191481116233295,34,5.214723926380368,0,*,TRUE
pyrocatechol,0.1738348772541653,14,2.147239263803681,0,*,-0.0178340702171873,243,37.26993865030675,0.13054100670244484,,FALSE
inosine (HILp),0.16883153223123368,16,2.4539877300613497,0,*,0.03931476803337522,112,17.177914110429448,8.556705572657641e-4,*,TRUE
4-guanidinobutanoic acid,0.1668480452701141,18,2.7607361963190185,0,*,0.0135215713582612,164,25.153374233128833,0.2516629202827467,,TRUE
beta-guanidinopropionic acid,0.1577090745120592,26,3.9877300613496933,0,*,0.04457500457904336,107,16.411042944785276,1.5642191655551585e-4,*,TRUE
