"Pathway","Number of metabolites","Metabolites","Overlap type"
"Integrin signaling",4,"guanosine (HILn_QI66), inosine (HILp_QI7107), 2'-O-methyladenosine (HILp_QI7751), 8-hydroxy-deoxyguanosine (HILp_QI7860)","Shared"
"NOD-like receptor signaling pathway",4,"10-heptadecenoate (C18n_QI23), imidazolelactate (HILn_QI73), pyrocatechol (HILn_QI103), beta-guanidinopropionic acid (HILp_TF26)","Shared"
"Proximal tubule bicarbonate reclamation",4,"crustecdysone (C18n_QI81), cinnamoylglycine (HILn_QI41), pantothenate (HILn_QI95), inosine (HILp_QI7107)","Shared"
"Alanine, aspartate and glutamate metabolism",3,"crustecdysone (C18n_QI81), Glu - deoxycholate (C18n_QI10801), pyrocatechol (HILn_QI103)","Shared"
"Chemical carcinogenesis - reactive oxygen species",3,"13-cis-retinoic acid (C18n_QI92), Glu - deoxycholate (C18n_QI10801), inosine (HILp_QI7107)","Shared"
"Cysteine and methionine metabolism",3,"10-heptadecenoate (C18n_QI23), isodeoxycholic acid (C18n_QI6769), beta-guanidinopropionic acid (HILp_TF26)","Shared"
"Human papillomavirus infection",3,"isodeoxycholic acid (C18n_QI6769), guanosine (HILn_QI66), inosine (HILp_QI7107)","Shared"
"Peroxisome",3,"10-heptadecenoate (C18n_QI23), 5-acetylamino-6-amino-3-methyluracil (HILn_QI19), pyrocatechol (HILn_QI103)","Shared"
"Proteasome",3,"10-heptadecenoate (C18n_QI23), 13-cis-retinoic acid (C18n_QI92), 4-guanidinobutanoic acid (HILp_QI1750)","Shared"
"RIG-I-like receptor signaling pathway",3,"10-heptadecenoate (C18n_QI23), isodeoxycholic acid (C18n_QI6769), inosine (HILn_QI76)","Shared"
"Toxoplasmosis",3,"crustecdysone (C18n_QI81), isodeoxycholic acid (C18n_QI6769), beta-guanidinopropionic acid (HILp_TF26)","Shared"
"Amyotrophic lateral sclerosis",2,"5-acetylamino-6-amino-3-methyluracil (HILn_QI19), 5-acetylamino-6-amino-3-methyluracil (HILp_QI3985)","Shared"
"Arrhythmogenic right ventricular cardiomyopathy",2,"guanosine (HILn_QI66), 8-hydroxy-deoxyguanosine (HILp_QI7860)","Shared"
"ECM-receptor interaction",2,"guanosine (HILn_QI66), inosine (HILp_QI7107)","Shared"
"Epstein-Barr virus infection",2,"10-heptadecenoate (C18n_QI23), inosine (HILn_QI76)","Shared"
"Glycolysis / Gluconeogenesis",2,"guanosine (HILn_QI66), 8-hydroxy-deoxyguanosine (HILp_QI7860)","Shared"
"Hepatitis C",2,"10-heptadecenoate (C18n_QI23), imidazolelactate (HILn_QI73)","Shared"
"Metabolism of xenobiotics by cytochrome P450",2,"isodeoxycholic acid (C18n_QI6769), inosine (HILn_QI76)","Shared"
"Propanoate metabolism",2,"crustecdysone (C18n_QI81), pyrocatechol (HILn_QI103)","Shared"
"Salmonella infection",2,"crustecdysone (C18n_QI81), imidazolelactate (HILn_QI73)","Shared"
"Steroid hormone biosynthesis",2,"Glu - deoxycholate (C18n_QI10801), cinnamoylglycine (HILn_QI41)","Shared"
"Th17 cell differentiation",2,"10-heptadecenoate (C18n_QI23), 13-cis-retinoic acid (C18n_QI92)","Shared"
"Toll-like receptor signaling pathway",2,"10-heptadecenoate (C18n_QI23), isodeoxycholic acid (C18n_QI6769)","Shared"
"Viral protein interaction with cytokine and cytokine receptor",2,"10-heptadecenoate (C18n_QI23), 13-cis-retinoic acid (C18n_QI92)","Shared"
"Butanoate metabolism",1,"crustecdysone (C18n_QI81)","Single"
"Focal adhesion",1,"guanosine (HILn_QI66)","Single"
"Hippo signaling pathway",1,"guanosine (HILn_QI66)","Single"
"Huntington disease",1,"4-aminophenol (HILp_QI418)","Single"
"Hypertrophic cardiomyopathy",1,"8-hydroxy-deoxyguanosine (HILp_QI7860)","Single"
"Inflammatory bowel disease",1,"10-heptadecenoate (C18n_QI23)","Single"
"Intestinal immune network for IgA production",1,"10-heptadecenoate (C18n_QI23)","Single"
"Kaposi sarcoma-associated herpesvirus infection",1,"Glu - deoxycholate (C18n_QI10801)","Single"
"Legionellosis",1,"crustecdysone (C18n_QI81)","Single"
"Lysosome biogenesis",1,"inosine (HILn_QI76)","Single"
"Malaria",1,"inosine (HILn_QI76)","Single"
"Measles",1,"10-heptadecenoate (C18n_QI23)","Single"
"Neuroactive ligand-receptor interaction",1,"10-heptadecenoate (C18n_QI23)","Single"
"Neutrophil extracellular trap formation",1,"10-heptadecenoate (C18n_QI23)","Single"
"Nucleocytoplasmic transport",1,"5-acetylamino-6-amino-3-methyluracil (HILn_QI19)","Single"
"Relaxin signaling pathway",1,"4-aminophenol (HILp_QI418)","Single"
"Ribosome",1,"guanosine (HILn_QI66)","Single"
"TNF signaling pathway",1,"Glu - deoxycholate (C18n_QI10801)","Single"
"Thermogenesis",1,"pyrocatechol (HILn_QI103)","Single"
"Tuberculosis",1,"pyrocatechol (HILn_QI103)","Single"
