"Gene","HR","Pval"
"HIST1H2AC",1.80775427316719,0.00173992593968285
"GBP1",0.779457593294031,0.182627907716934
"PCK2",0.791062162528491,0.204997451742592
"SH3YL1",0.814239028914273,0.264012621657449
"S100P",0.817246887182333,0.274062777904599
"GATM",1.22121541482348,0.278419314888236
"ISG15",1.17348216227799,0.383509385062427
"TGFBR2",1.12885461284851,0.509897690926879
"PLK2",1.12856585073953,0.510642155383166
"ANXA6",1.12534076921895,0.521194907078158
"S100A9",1.11092468598927,0.566726024573665
"FABP1",1.09679639003599,0.614818611255667
"PHLDA1",1.06900098698754,0.71634150893588
"PRKAR2B",1.052325576829,0.782719873847596
"TLR4",1.05206843711423,0.782931371101526
